"alpha","delta","factorization","n_reps","n_dropped","K_diag_KS_p","Koff_g0_KS_p","Koff_g1_KS_p","Kslab_g1_KS_p","gamma_KS_p","runtime_s"
0.5,0,"joint",500,0,7.21131197182195e-40,1.09145678181875e-26,3.02043629493949e-09,0.0005813627752223,5.26846267871588e-118,37.674
1,0,"joint",500,0,3.34850801303456e-29,8.40623342186051e-41,3.03140301970496e-13,0.000214929763529104,2.74705513865921e-156,31.394
2,0,"joint",500,0,8.13762290131165e-10,4.93723862895131e-47,2.91684720335607e-07,0.0414107154459119,4.60103265696719e-241,21.983
0.5,1.15129254649702,"joint",500,0,9.4963609608099e-16,1.12133721340492e-56,5.02168203439703e-07,0.00831965765096688,0,17.235
1,1.15129254649702,"joint",500,0,6.15089814196975e-10,2.23651932978253e-61,1.34593408820918e-07,0.00895563513333637,0,17.967
2,1.15129254649702,"joint",500,0,7.22146426063322e-06,1.2225877112807e-74,6.06880805337495e-09,0.00501935212360514,0,19.177
0.5,2,"joint",500,0,1.32078720268351e-08,9.14736046175837e-81,1.38991014474247e-08,0.00126268419330606,0,19.172
1,2,"joint",500,0,1.0469209100884e-13,3.17042355139642e-81,1.49564699905355e-14,7.26960688627789e-07,0,18.801
2,2,"joint",500,0,0.0205179759969595,2.65333745923692e-95,2.97083398761143e-15,3.89281578548583e-07,0,19.933
0.5,0,"hierarchical",500,0,0.32189129227578,6.83291165949357e-79,7.58382928037844e-34,0.23628003049127,0.0147873854331795,162.196
1,0,"hierarchical",500,0,0.467558592123605,2.21820445542291e-77,2.32817653750288e-44,0.219450525587471,0.995782746942329,117.93
2,0,"hierarchical",500,0,0.236898287566659,1.03608547720181e-58,1.77215850187233e-39,0.455536853292719,0.0853902969416295,153.893
0.5,1.15129254649702,"hierarchical",500,0,0.0605805973111189,3.76597620165708e-76,9.3418608289805e-41,0.0857395648883955,0.617418549109782,155.637
1,1.15129254649702,"hierarchical",500,0,0.058351065719715,6.66677181650596e-52,1.37369223690103e-52,0.295845160748229,0.541884711362261,125.333
2,1.15129254649702,"hierarchical",500,0,0.0520801980660396,1.58198963035966e-48,3.47248100199146e-56,0.37847922465612,0.444637738306565,150.394
0.5,2,"hierarchical",500,0,0.639867613124581,1.38463017101853e-38,6.8301521838289e-55,0.287886367224311,0.831451572755055,154.194
1,2,"hierarchical",500,0,0.967068491755592,4.55497538816129e-40,5.74400237253483e-65,0.449121444722297,0.75171854451499,115.434
2,2,"hierarchical",500,0,0.872165412364744,4.66774940422754e-27,3.85524142001119e-64,0.0695450713374692,0.93464843640715,154.205
